word,politics,religious,sports,entertainment
শহর,-12.641600215834359,0.0,0.0,-12.728133100306218
বাজ,-11.056637715113201,0.0,0.0,-11.14317059958506
এলাকা,-12.641600215834359,0.0,0.0,0.0
একাধিক,-11.641600215834359,0.0,0.0,-11.14317059958506
গাড়ি,-12.641600215834359,0.0,0.0,0.0
ভাঙচুর,-12.641600215834359,0.0,0.0,0.0
পুলিশ,-11.641600215834359,-12.694575537525989,0.0,-12.728133100306218
বাদী,-10.319672120946995,0.0,-12.71188202835209,0.0
বুধব,-10.641600215834357,-12.694575537525989,-12.71188202835209,-12.728133100306218
উচ্চ,-12.641600215834359,-11.69457553752599,0.0,-12.728133100306218
জামিন,-11.056637715113201,0.0,0.0,0.0
আবেদন,-12.641600215834359,-12.694575537525989,-12.71188202835209,0.0
ফিরি,-11.641600215834359,0.0,-12.71188202835209,-12.728133100306218
দেওয়া,-12.641600215834359,-12.694575537525989,-11.71188202835209,0.0
ক্ষোভ,-12.641600215834359,0.0,0.0,0.0
প্রকাশ,-9.834245293776753,-10.694575537525989,-10.711882028352088,-9.920778178248613
মির্জা,-10.319672120946995,0.0,0.0,0.0
ফখরুল,-10.641600215834357,0.0,0.0,0.0
ইসলাম,-9.471675214392045,-8.60711269627565,0.0,-10.728133100306216
আলমগীর,-11.056637715113201,0.0,0.0,0.0
সচেতনভাব,-12.641600215834359,0.0,0.0,0.0
রাষ্ট্রবিরোধী,-12.641600215834359,0.0,0.0,0.0
ভূমিকা,-12.641600215834359,0.0,0.0,-12.728133100306218
পালন,-11.641600215834359,-10.109613036804832,0.0,0.0
এক,-8.056637715113201,-7.650181418167535,-7.541957026909775,-7.027693382165125
সংবিধান,-12.641600215834359,0.0,0.0,0.0
লঙ্ঘন,-12.641600215834359,-12.694575537525989,0.0,0.0
ধরন,-11.641600215834359,-12.694575537525989,-11.126919527630932,-10.406205005418855
সাজা,-10.641600215834357,-12.694575537525989,-12.71188202835209,-12.728133100306218
আছ,-11.641600215834359,-12.694575537525989,-11.71188202835209,-10.14317059958506
মুক্তি,-9.182168597197059,-10.372647442638627,0.0,-8.26870148166892
রাষ্ট্র,-10.056637715113201,-10.694575537525989,0.0,0.0
প্রতিষ্ঠান,-10.056637715113201,0.0,-11.126919527630932,-10.728133100306216
দলীয়করণ,-12.641600215834359,0.0,0.0,0.0
ড,-7.356197996972109,-7.6071126962756495,-6.302491092214385,-6.578385980801535
শুন,-10.641600215834357,-11.69457553752599,-11.71188202835209,-12.728133100306218
নিয়ন্ত্রণ,-10.641600215834357,0.0,0.0,0.0
আইন,-10.319672120946995,-10.372647442638627,-11.71188202835209,-12.728133100306218
শাসন,-10.056637715113201,-12.694575537525989,0.0,-12.728133100306218
প্রকল্প,-11.056637715113201,0.0,0.0,-12.728133100306218
থাক,-10.319672120946995,-10.694575537525989,-9.389953933464724,-9.920778178248613
বালিশপর্দ,-11.641600215834359,0.0,0.0,0.0
দুর্নীতি,-9.056637715113201,0.0,0.0,0.0
দুর্নীতির,-11.056637715113201,0.0,0.0,0.0
ওবায়দুল,-10.056637715113201,0.0,0.0,0.0
কা,-6.149747119504682,-6.372647442638627,-6.053670545600292,-6.098776480226607
বালিশ–পর্দা,-11.641600215834359,0.0,0.0,0.0
কেনা,-11.641600215834359,-11.69457553752599,0.0,0.0
ছিঁচ,-11.641600215834359,0.0,0.0,0.0
কথ,-8.471675214392045,-9.887220615468385,-9.25245040971479,-9.26870148166892
স্বীক,-11.056637715113201,0.0,0.0,0.0
বড়,-10.641600215834357,-8.887220615468385,-10.12691952763093,-9.728133100306216
মিজানুর,-12.641600215834359,0.0,0.0,0.0
মিনু,-12.641600215834359,0.0,0.0,0.0
জিয়া,-9.834245293776753,0.0,-12.71188202835209,0.0
জ,-4.821421253419169,-4.836594542398417,-5.046546111166911,-4.895243086141475
ব,-3.5890321650302033,-3.3930793425434405,-3.456853458533358,-3.6380206806419277
দেব,-11.056637715113201,-7.565292520581023,-12.71188202835209,-11.728133100306218
১৮,-11.056637715113201,-12.694575537525989,0.0,-12.728133100306218
চেয়ারপারসন,-11.641600215834359,0.0,0.0,0.0
মুক্তির,-9.641600215834357,-12.694575537525989,0.0,-9.558208098863904
নিয়মতান্ত্রিকভাব,-12.641600215834359,0.0,0.0,0.0
আন্দোলন,-9.641600215834357,0.0,0.0,0.0
ভ,-5.771235496250952,-5.836594542398418,-5.572330675953293,-5.027693382165125
মুক্ত,-8.734709620225837,-10.109613036804832,0.0,-8.14317059958506
নারায়ণগঞ্জ,-11.641600215834359,0.0,0.0,0.0
জেলা,-9.641600215834357,-12.694575537525989,0.0,0.0
অধিকাংশ,-12.641600215834359,0.0,0.0,0.0
চাননা,-12.641600215834359,0.0,0.0,0.0
বর্তমান,-10.641600215834357,-11.69457553752599,-10.711882028352088,-11.14317059958506
কাজী,-11.056637715113201,0.0,0.0,-12.728133100306218
মনিরুজ্জামান,-11.056637715113201,0.0,0.0,0.0
মামুন,-11.641600215834359,0.0,0.0,-12.728133100306218
মাহমু,-10.641600215834357,0.0,0.0,-10.728133100306216
দল,-7.51231719888939,-12.694575537525989,-7.711882028352088,-10.14317059958506
এগি,-12.641600215834359,0.0,-12.71188202835209,-11.14317059958506
মাঠ,-12.641600215834359,0.0,-9.389953933464724,-12.728133100306218
কর,-7.319672120946994,-7.302258114747229,-8.904527106294482,-7.236280003976542
নারাজ,-12.641600215834359,0.0,0.0,0.0
এতদিন,-12.641600215834359,0.0,0.0,0.0
গোপন,-11.641600215834359,0.0,0.0,0.0
ক্ষোভ,-11.056637715113201,-10.694575537525989,0.0,-12.728133100306218
থাকল,-12.641600215834359,0.0,-12.71188202835209,-11.14317059958506
বলছ,-12.641600215834359,0.0,0.0,0.0
খোদ,-12.641600215834359,0.0,0.0,0.0
২০৫,-11.641600215834359,0.0,0.0,0.0
পূর্ণাঙ্গ,-12.641600215834359,0.0,0.0,0.0
বয়স,-12.641600215834359,-11.109613036804832,-9.904527106294482,0.0
অতিবাহিত,-12.641600215834359,0.0,0.0,0.0
জান,-8.941160497693264,-9.524650536083678,-9.389953933464724,-8.027693382165124
গত,-9.319672120946995,-9.887220615468385,-9.389953933464724,-9.406205005418855
১৩,-11.641600215834359,-12.694575537525989,-10.12691952763093,-11.14317059958506
মার্চ,-12.641600215834359,-11.69457553752599,0.0,0.0
অনুমোদন,-11.641600215834359,-11.69457553752599,0.0,-12.728133100306218
